id,set,source,severity,claim,where,probe,status
SEC-01,security,security agent,HIGH,"silver standardisation rewrites the SECURITY field, changing who may see a row: source 'us-west ' is served 'us-west', so a row invisible to everyone becomes visible to a whole region",core/mirror/standardise.py + any type declaring security: field:,"python -c ""from core.mirror.standardise import rules_for,standardise as s; r=rules_for({'type':'data'}); print(repr(s('us-west ',r)))""",open; backend. Same call already made the OTHER way for coercion at UNIFIED_ROADMAP:1290 and not carried across
SEC-02,security,security agent,MED,"with_lineage() spreads system values AFTER the row, so a customer column named _silo/_source_table/_row_hash is silently overwritten; no guard refuses the name anywhere",core/mirror/lineage.py with_lineage(),"python -c ""from core.mirror.lineage import with_lineage as w; print(w([{'_silo':'CUSTOMER'}],columns=['_silo'],silo_name='primary_sql',table_name='t')[0]['_silo'])""",open; backend. Loss happens ONCE here; gold carries the already-lost value forward
SEC-03,security,security agent,LOW,an ontology field named _silo crashes the gold build with KeyError 'Column _silo does not exist in schema' rather than being refused at load; per PA001-G5 a raise out of gold means later types never build,"core/mirror/gold.py _arrow(), names += LINEAGE_COLUMNS",declare a field named _silo on any type and run a gold build,"open; backend. Different failure from SEC-02, same root"
SEC-04,security,security agent,MED,"a 'parameter' submission criterion added AFTER a write was proposed is silently skipped at confirm, because _criteria_for reads the CURRENT definition while pending.parameters came from the old one",core/ontology/write_mediator.py _check_approver_criteria,"evaluate_submission_criteria([{check:parameter,field:amount,...}], None, {'employee_id':'e1'}, None) -> passes","FIXED b33f929, controls fired 2/5 and 2/5"
SEC-05,security,security agent,HIGH,"a literal database password is accepted by expand_secrets() and data_silos.yaml is published VERBATIM into the lake manifest, defeating manifest.py's own rule that 'a lake reader must never become a credential reader'",core/secret_references.py + core/mirror/manifest.py PUBLISHABLE,"python -c ""from core.secret_references import expand_secrets as e; print(e({'url':'postgresql+psycopg://u:hunter2@h/db'}))""",open; backend + unowned. Does NOT fire on the sqlite demo; fires for any SQLAlchemy silo
SEC-06,security,security agent,MED,core/secret_references.py and core/ontology/submission_criteria.py are in NO ownership list; 000COORDINATION.md has no catch-all rule and no check that every .py matches one,000COORDINATION.md,grep -n secret_references 000COORDINATION.md 001*.txt  -> no match,"open; owner. Both found by accident, which suggests more exist"
SEC-07,security,security agent,SEC,"E-02 residual: field lengths are bounded but the NUMBER of distinct usernames inside one 15-min window is not; ~307 bytes/row, ~28 MB at 100 req/s, unauthenticated. A GLOBAL row cap is unsafe in BOTH eviction directions",core/auth/login_attempt_tracker.py + api/routes.py,400 unauthenticated logins with distinct legal-length usernames; measure credentials.db,open; needs an owner decision AND api/routes.py. Evicting live lockouts resets a victim; refusing new rows disables lockout for new usernames
SEC-08,security,security agent,INFO,"/admin/mirror row counts are raw table counts spanning every compartment, and an administrator also has a MAC value; AGENTS.md says a GROUP BY pushed into SQL would aggregate rows the caller cannot see",api/routes.py /admin/mirror,read the docstring; it reasons about the gating but not about MAC,"question, not a defect. Is manage:deployment a MAC bypass for aggregates? Same shape as R39 and R61"
SEC-09,security,security agent,LOW,"nothing calls executor.shutdown(wait=); the executor drains only because /query awaits its future, so a future submit-without-await would be drained by nothing and nothing would object",api/app.py app.state.executor,grep -rn 'executor.shutdown' api/ core/  -> no hits,"recorded, NOT guarded. Correct today and incidental; PRINCIPLES.md 7 says do not build for a caller that does not exist"
SEC-10,security,security agent,INFO,test_the_sync_reads_a_consistent_snapshot_under_concurrent_source_writes fails intermittently under full-tier load and passes 3/3 alone on a clean tree; a concurrency test that hopes for an interleaving rather than forcing one (RULES.md 3),tests/unit/test_sync_snapshot_semantics.py,run the whole unit tier repeatedly; it failed twice in ~10 runs,"open; backend. Reported twice, not fixed into passing"
